id,Nombre,Apellido,Genero,Asignatura,Edad,Nota
1,Orren,Maulin,Beyblade,Backend,24,2.5
2,Amory,Francescuccio,Beyblade,Frontend,16,0.88
3,Hortensia,Kemmey,Male,Backend,21,3.41
4,Matilda,Piggrem,Beyblade,Full-Stack,24,
5,Eddy,Milch,Female,Backend,17,2.77
6,Pammie,Constantinou,Female,Frontend,22,3.33
7,Kimmie,Eburah,Female,Full-Stack,21,1.13
8,Les,Bellanger,Female,Frontend,23,2.07
9,Dillie,McCluney,Female,Backend,24,0.0
10,Aleta,Moring,Beyblade,Backend,18,2.72
11,Jill,Carvilla,Beyblade,Full-Stack,21,0.58
12,Aura,Etteridge,Female,Frontend,17,1.15
13,Golda,Agar,Beyblade,Backend,,
14,Woodman,Huttley,Female,Frontend,24,2.58
15,Mechelle,Stoneley,Male,Backend,22,3.05
16,Fitzgerald,Dinning,Beyblade,Backend,22,3.11
17,Kimberli,Gearing,Beyblade,Frontend,20,1.05
18,Alvira,Foker,Female,Frontend,25,
19,Gabriele,Greatrex,Female,Frontend,18,3.91
20,Reeba,Attenbrow,Beyblade,Backend,24,0.81
21,Salvidor,Odlin,Male,Frontend,25,2.81
22,Batsheva,McQuarrie,Beyblade,Frontend,21,2.49
23,Kameko,Shere,Beyblade,Backend,17,2.68
24,Isidora,Erdely,Male,Backend,20,3.17
25,Mariana,Brideau,Beyblade,Frontend,16,
26,Elijah,Arney,Beyblade,Frontend,16,1.89
27,Steffie,Alchin,Beyblade,Full-Stack,24,2.36
28,Siegfried,Heningham,Male,Backend,16,0.84
29,Pet,Kinnon,Beyblade,Backend,19,0.68
30,Aland,Caruth,Female,Backend,22,0.22
31,Roosevelt,Daniell,Beyblade,Frontend,24,2.1
32,Vale,Clissett,Female,Frontend,25,1.66
33,Giffer,Loynes,Female,Backend,21,1.29
34,Che,Scolli,Beyblade,Backend,25,1.98
35,Prince,Gorry,Female,Full-Stack,24,3.77
36,Ida,Tethcote,Male,Frontend,23,0.22
37,Dolley,Corballis,Female,Frontend,23,1.59
38,Marianna,Denning,Beyblade,Backend,21,2.45
39,Mathew,Benezet,Beyblade,Backend,19,1.07
40,Brunhilde,Sircomb,Male,Full-Stack,22,1.43
41,Janith,Schirach,Beyblade,Frontend,17,3.91
42,Aarika,Wanklin,Female,Frontend,22,2.2
43,Lauretta,Yukhnini,Beyblade,Backend,19,1.26
44,Casar,Antoni,Female,Backend,16,1.85
45,Clay,MacMaykin,Beyblade,Frontend,19,3.97
46,Jonathan,Jaggli,Beyblade,Backend,23,1.73
47,Anthia,Atthowe,Female,Backend,21,2.54
48,Nari,Housbey,Beyblade,Frontend,22,2.55
49,Talbert,Auston,Male,Backend,23,2.73
50,Ker,Bille,Beyblade,Frontend,23,0.98
51,Deonne,Roll,Beyblade,Frontend,18,3.52
52,Win,Shane,Beyblade,Frontend,19,2.74
53,Stephanie,Maria,Female,Frontend,17,0.51
54,Micky,Siss,Beyblade,Backend,20,2.84
55,Nevsa,Huett,Beyblade,Backend,17,3.73
56,Rodrique,Allnutt,Beyblade,Frontend,17,1.27
57,Darda,Albon,Male,Frontend,21,0.74
58,Ainslee,Giacovetti,Female,Backend,25,3.62
59,Jessamyn,Broomhall,Beyblade,Backend,20,3.05
60,Danyette,Siggens,Beyblade,Full-Stack,25,0.53
61,Chadwick,Cragell,Beyblade,Frontend,24,0.44
62,Jillie,Lammertz,Male,Backend,22,1.89
63,Pip,Butland,Male,Frontend,20,0.21
64,Ibrahim,Gingell,Beyblade,Backend,18,0.97
65,Atlanta,Skingley,Beyblade,Frontend,18,0.59
66,Ede,Aleksic,Beyblade,Full-Stack,,2.96
67,Rossy,Harback,Female,Frontend,16,0.02
68,Shell,Whitrod,Beyblade,Backend,18,3.39
69,Barby,Jina,Female,Backend,,
70,Trish,Archdeacon,Beyblade,Full-Stack,16,1.36
71,Donnell,Curror,Beyblade,Full-Stack,22,1.19
72,Emelda,Dellit,Male,Frontend,22,3.77
73,Jacinta,Spencley,Beyblade,Frontend,23,0.24
74,Antonietta,Phillput,Beyblade,Frontend,18,2.42
75,Hatti,Woofendell,Female,Backend,22,3.76
76,Gerri,Staneland,Female,Full-Stack,23,0.48
77,Giulia,Burtwistle,Male,Backend,24,0.81
78,Granthem,Shorey,Beyblade,Backend,21,0.9
79,Dean,Mulderrig,Beyblade,Backend,25,0.54
80,Rich,Juszczak,Beyblade,Frontend,23,0.93
81,Jenica,Gillard,Beyblade,Frontend,17,3.62
82,Tybalt,Harome,Beyblade,Backend,16,1.98
83,Kiah,Leahey,Beyblade,Backend,22,2.17
84,Reeba,Krook,Female,Frontend,17,3.37
85,Florian,Trodden,Female,Backend,19,1.92
86,Augustina,Diamond,Beyblade,Backend,21,1.31
87,Aleece,Han,Female,Backend,17,3.93
88,Marguerite,Scopyn,Female,Frontend,24,0.11
89,Rolland,Wrangle,Male,Backend,23,3.52
90,Evangeline,Bowra,Female,Full-Stack,,0.4
91,Blinny,Cully,Female,Backend,17,2.68
92,Zia,Shuard,Male,Frontend,21,3.74
93,Burl,Bliben,Beyblade,Frontend,21,2.9
94,Padriac,Bryceson,Beyblade,Frontend,22,3.66
95,Goober,Bensley,Beyblade,Backend,16,1.02
96,Norah,Dionisetto,Beyblade,Frontend,22,0.62
97,Heather,Dear,Beyblade,Backend,20,
98,Kelley,Dericot,Beyblade,Full-Stack,18,0.88
99,Ludvig,Cosgrive,Beyblade,Frontend,19,3.42
100,Melicent,Vockings,Beyblade,Backend,17,1.63
101,Rachelle,Tebbet,Female,Backend,16,2.26
102,Margarete,Feacham,Male,Frontend,24,0.02
103,Boote,Trehearn,Female,Frontend,21,0.22
104,Taber,Scalera,Beyblade,Full-Stack,21,1.87
105,Guido,McCaskill,Beyblade,Backend,,0.13
106,Tyler,Budd,Female,Frontend,21,3.02
107,Valencia,Lemmers,Female,Backend,19,3.13
108,Rolando,Seally,Beyblade,Backend,19,
109,Jordana,Anyon,Beyblade,Backend,25,0.51
110,Flori,Raecroft,Male,Frontend,23,
111,Oliy,Birchill,Beyblade,Backend,20,0.07
112,Salvatore,Heintz,Beyblade,Frontend,17,
113,Charo,Laurent,Beyblade,Full-Stack,20,0.09
114,Trever,Eldin,Female,Backend,20,
115,Trev,Sammut,Beyblade,Frontend,20,0.23
116,Brucie,Layus,Beyblade,Frontend,25,3.72
117,Mohandis,Garrick,Female,Backend,22,3.14
118,Waldon,Tabord,Female,Backend,17,3.34
119,Allyce,Merlin,Beyblade,Full-Stack,,2.19
120,Benedikt,Capell,Male,Backend,19,3.25
121,Hannie,Frantsev,Beyblade,Frontend,23,2.08
122,Belle,Wilkison,Female,Frontend,24,
123,Shel,McLane,Female,Full-Stack,22,1.46
124,Laurence,Truelock,Beyblade,Full-Stack,23,3.07
125,Ludvig,Kohlert,Female,Backend,19,3.7
126,Janeva,Sylvaine,Female,Frontend,17,0.12
127,Tom,Karlolak,Female,Full-Stack,19,1.34
128,Jeri,Soeiro,Female,Backend,20,0.49
129,Thibaut,Dureden,Female,Full-Stack,19,3.21
130,Fransisco,Giottini,Male,Frontend,16,2.74
131,Vernon,Kimberley,Female,Backend,18,3.2
132,Allyson,Chessil,Beyblade,Full-Stack,25,0.55
133,Louisa,Mulheron,Male,Backend,25,2.56
134,Aeriela,Coltman,Female,Backend,17,2.54
135,Van,Gearty,Male,Full-Stack,22,3.8
136,Cristy,Pittman,Beyblade,Backend,22,1.25
137,Wait,Maccaig,Beyblade,Backend,19,1.59
138,Griffy,Chown,Beyblade,Backend,25,1.57
139,Shell,Goodfellow,Beyblade,Backend,21,1.92
140,Bat,Gulliver,Beyblade,Frontend,18,0.1
141,Nils,Malam,Beyblade,Full-Stack,,1.68
